# hanzi	pinyin	HSK level (HSK 3.0 standard, public list)
纽扣	niǔkòu	7
线	xiàn	3
线条	xiàntiáo	7
线索	xiànsuǒ	5
线路	xiànlù	6
练	liàn	2
练习	liànxí	2
组	zǔ	2
组合	zǔhé	3
组成	zǔchéng	2
组织	zǔzhī	5
组长	zǔ zhǎng	2
绅士	shēnshì	7
细	xì	4
细微	xìwēi	7
细心	xìxīn	7
细胞	xìbāo	6
细腻	xìnì	7
细致	xìzhì	4
细节	xìjié	4
细菌	xìjūn	6
织	zhī	6
终于	zhōngyú	3
终止	zhōngzhǐ	5
终点	zhōngdiǎn	5
终生	zhōngshēng	7
终究	zhōngjiū	7
终结	zhōngjié	7
终身	zhōngshēn	5
经	jīng	7
经久不息	jīngjiǔbùxī	7
经典	jīngdiǎn	4
经历	jīnglì	3
经受	jīngshòu	7
经商	jīngshāng	7
经常	jīngcháng	2
经度	jīngdù	7
经济	jīngjì	3
经理	jīnglǐ	2
经营	jīngyíng	3
经贸	jīngmào	7
经费	jīngfèi	5
经过	jīngguò	2
经验	jīngyàn	3
绑	bǎng	7
绑架	bǎngjià	6
结	jié	4
结冰	jiébīng	7
结合	jiéhé	3
结婚	jiéhūn	3
结实	jiēshi	3
结尾	jiéwěi	7
结局	jiéjú	7
结晶	jiéjīng	7
结束	jiéshù	3
结构	jiégòu	4
结果	jiéguǒ	2
结论	jiélùn	4
结识	jiéshí	7
绕	rào	5
绕行	ràoxíng	7
绘声绘色	huìshēnghuìsè	7
绘画	huìhuà	6
给	gěi	1
给予	jǐyǔ	6
络绎不绝	luòyìbùjué	7
绝	jué	6
绝大多数	juédàduōshù	6
绝对	juéduì	3
绝技	juéjì	7
绝招	juézhāo	7
绝望	juéwàng	5
绝缘	juéyuán	7
绞	jiǎo	7
统一	tǒngyī	4
统治	tǒngzhì	7
统筹	tǒngchóu	7
统统	tǒngtōng	7
统计	tǒngjì	4
绣	xiù	7
继	jì	7
继承	jìchéng	5
继母	jìmǔ	7
继父	jìfù	7
继续	jìxù	3
继而	jì'ér	7
续	xù	7
绯闻	fēiwén	7
绰号	chuòhào	7
绳子	shéngzi	7
维修	wéixiū	4
维护	wéihù	4
维持	wéichí	4
维生素	wéishēngsù	6
绷	bēng	7
绷带	bēngdài	7
综合	zōnghé	4
绽放	zhànfàng	7
绿	lǜ	2
绿化	lǜhuà	6
绿地	lǜdì	7
绿灯	lǜdēng	7
绿色	lǜ sè	2
绿茶	lǜ chá	3
缅怀	miǎnhuái	7
缆车	lǎnchē	7
缓	huǎn	7
缓和	huǎnhé	7
缓慢	huǎnmàn	7
缓缓	huǎnhuǎn	7
缓解	huǎnjiě	4
缕	lǚ	7
编	biān	4
编写	biānxiě	7
编剧	biānjù	7
编号	biānhào	7
编排	biānpái	7
编辑	biānjí	5
编造	biānzào	7
缘分	yuánfèn	7
缘故	yuángù	6
缝	fèng	7
缝合	fénghé	7
缠	chán	7
缤纷	bīnfēn	7
缩	suō	7
缩小	suō xiǎo	4
缩影	suōyǐng	7
缩水	suōshuǐ	7
缩短	suōduǎn	4
缴	jiǎo	7
缴纳	jiǎonà	7
缴费	jiǎofèi	7
缸	gāng	7
缺	quē	3
缺乏	quēfá	5
缺口	quēkǒu	7
缺失	quēshī	7
缺少	quēshǎo	3
缺席	quēxí	7
缺点	quēdiǎn	3
缺陷	quēxiàn	6
罐	guàn	7
罐头	guàntou	7
网	wǎng	2
网上	wǎng shàng	1
网友	wǎng yǒu	1
网吧	wǎngbā	6
网址	wǎng zhǐ	4
网民	wǎngmín	7
网点	wǎngdiǎn	7
网球	wǎngqiú	2
网站	wǎngzhàn	2
网络	wǎngluò	4
网页	wǎngyè	6
罕见	hǎnjiàn	7
罗	luó	7
罚	fá	5
罚款	fákuǎn	5
罢休	bàxiū	7
罢免	bàmiǎn	7
罢工	bàgōng	6
罩	zhào	7
罪	zuì	6
罪恶	zuì'è	6
置	zhì	7
羊	yáng	3
美	měi	3
美中不足	měizhōngbùzú	7
美丽	měilì	3
美人	měirén	7
美元	měi yuán	3
美化	měihuà	7
美味	měiwèi	7
美女	měi nǚ	4
美好	měi hǎo	3
美妙	měimiào	7
美容	měiróng	6
美德	měidé	7
美景	měijǐng	7
美术	měishù	3
美滋滋	měizīzī	7
美满	měimǎn	7
美观	měiguān	7
美金	měi jīn	4
美食	měi shí	3
羞愧	xiūkuì	7
羡慕	xiànmù	7
群	qún	3
群众	qúnzhòng	5
群体	qún tǐ	5
羽毛球	yǔmáoqiú	5
羽绒服	yǔróngfú	5
翅膀	chìbǎng	7
翘	qiào	7
翠绿	cuìlǜ	7
翻	fān	4
翻天覆地	fāntiānfùdì	7
翻来覆去	fānláifùqù	7
翻番	fānfān	7
翻译	fānyì	4
耀眼	yàoyǎn	7
老	lǎo	1
老乡	lǎoxiāng	6
老人	lǎo rén	1
老人家	lǎorénjiā	7
老伴儿	lǎobànr	7
老公	lǎo gōng	4
老化	lǎohuà	7
老大	lǎodà	7
老太太	lǎo tài tai	3
老头儿	lǎo tóur	3
老婆	lǎopó	4
老字号	lǎozìhào	7
老实	lǎoshi	4
老实说	lǎoshíshuō	7
老家	lǎo jiā	4
老师	lǎoshī	1
老年	lǎo nián	2
老是	lǎo shì	2
老朋友	lǎo péng yǒu	2
老板	lǎobǎn	3
老汉	lǎohàn	7
老百姓	lǎobǎixìng	3
老远	lǎoyuǎn	7
考	kǎo	1
考场	kǎochǎng	6
考察	kǎochá	4
考核	kǎohé	5
考生	kǎo shēng	2
考虑	kǎolǜ	4
考试	kǎoshì	1
考题	kǎotí	6
考验	kǎoyàn	3
者	zhě	3
而	ér	4
而且	ér qiě	2
而已	éryǐ	7
而是	ér shì	4
耍	shuǎ	7
耍赖	shuǎlài	7
耐	nài	7
耐人寻味	nàirénxúnwèi	7
耐心	nàixīn	5
耐性	nàixìng	7
耕地	gēngdì	7
耗	hào	7
耗时	hàoshí	7
耗费	hàofèi	7
耳光	ěrguāng	7
耳朵	ěrduo	5
耳机	ěr jī	4
耳熟能详	ěrshúnéngxiáng	7
耳目一新	ěrmùyīxīn	7
耳闻目睹	ěrwénmùdǔ	7
耸立	sǒnglì	7
耻笑	chǐxiào	7
耻辱	chǐrǔ	7
耽搁	dānge	7
耽误	dānwu	7
耿直	gěngzhí	7
聊	liáo	6
聊天儿	liáotiānr	6
聋	lóng	7
聋人	lóngrén	7
职业	zhíyè	3
职业病	zhíyèbìng	7
职位	zhíwèi	5
职务	zhíwù	5
职员	zhíyuán	7
职工	zhí gōng	3
职权	zhíquán	7
职能	zhínéng	5
职责	zhízé	6
联合	liánhé	3
联合国	lián hé guó	3
联想	liánxiǎng	5
联手	liánshǒu	6
联欢	liánhuān	7
联盟	liánméng	6
联系	liánxì	3
联络	liánluò	5
联网	liánwǎng	7
联赛	liánsài	6
联邦	liánbāng	7
聘	pìn	7
聘任	pìnrèn	7
聘用	pìnyòng	7
聘请	pìnqǐng	6
聚	jù	4
聚会	jùhuì	4
聚精会神	jùjīnghuìshén	7
聚集	jùjí	7
聪明	cōngming	5
肇事	zhàoshì	7
肉	ròu	1
肌肉	jīròu	5
肌肤	jīfū	7
肖像	xiàoxiàng	7
肚子	dùzi	4
肝	gān	6
肝脏	gānzàng	7
肠	cháng	5
股	gǔ	6
股东	gǔdōng	6
股份	gǔfèn	7
股市	gǔshì	7
股民	gǔmín	7
股票	gǔpiào	6
肢体	zhītǐ	7
肥	féi	4
肥料	féiliào	7
肥沃	féiwò	7
肥皂	féizào	7
肥胖	féipàng	7
肩	jiān	5
肩膀	jiānbǎng	7
肩负	jiānfù	7
肯	kěn	6
肯定	kěndìng	5
肺	fèi	6
肾	shèn	7
肿	zhǒng	6
肿瘤	zhōngliú	7
胀	zhàng	7
胃	wèi	5
胃口	wèikǒu	7
胆	dǎn	5
胆子	dǎnzi	7
胆小	dǎn xiǎo	5
胆怯	dǎnqiè	7
背	bēi	2
背包	bēi bāo	5
背叛	bèipàn	7
背后	bèi hòu	3
背景	bèijǐng	4
背诵	bèisòng	7
背面	bèimiàn	7
胎	tāi	7
胎儿	tāi'ér	7
胖	pàng	3
胖子	pàng zi	4
胚胎	pēitāi	7
胜	shèng	3
胜任	shèngrèn	7
胜出	shèngchū	7
胜利	shènglì	3
胜负	shèngfù	5
胡同儿	hú tòngr	5
胡子	hú zi	5
胡思乱想	húsīluànxiǎng	7
胡说	húshuō	7
胡闹	húnào	7
胳膊	gēbo	7
胶囊	jiāonáng	7
胶带	jiāo dài	5
胶水	jiāoshuǐ	5
胶片	jiāopiàn	7
胸有成竹	xiōngyǒuchéngzhú	7
胸膛	xiōngtáng	7
胸部	xiōng bù	4
能	néng	1
能不能	néng bù néng	3
能人	néngrén	7
能力	néngli	3
能否	néngfǒu	6
能够	néng gòu	2
能干	nénggàn	4
能源	néngyuán	7
能耐	néngnai	7
能耗	nénghào	7
能量	néngliàng	5
脂肪	zhīfáng	7
脆	cuì	5
脆弱	cuìruò	7
脉搏	màibó	7
脉络	màiluò	7
脊梁	jǐliáng	7
脏	zāng	2
脑子	nǎo zi	5
脑海	nǎohǎi	7
脑筋	nǎojīn	7
脑袋	nǎodai	4
脖子	bózi	7
脚	jiǎo	2
脚印	jiǎoyìn	6
脚步	jiǎo bù	5
脱	tuō	4
脱口而出	tuōkǒu'érchū	7
脱离	tuōlí	5
脱节	tuōjié	7
脱落	tuōluò	7
脱身	tuōshēn	7
脱颖而出	tuōyǐng'érchū	7
脸	liǎn	2
脸盆	liǎn pén	5
脸色	liǎn sè	5
脸颊	liǎnjiá	7
脾	pí	7
脾气	píqi	5
腊月	làyuè	7
腐化	fǔhuà	7
腐朽	fǔxiǔ	7
腐烂	fǔlàn	7
腐蚀	fǔshí	7
腐败	fǔbài	7
腔	qiāng	7
腥	xīng	7
腰	yāo	4
腹泻	fùxiè	7
腹部	fùbù	7
腺	xiàn	7
腾	téng	7
腿	tuǐ	2
膜	mó	6
膝盖	xīgài	7
膨胀	péngzhàng	7
膳食	shànshí	7
自	zì	4
自主	zìzhǔ	3
自从	zìcóng	3
自信	zìxìn	4
自动	zìdòng	3
自在	zìzài	6
自学	zìxué	6
自己	zìjǐ	2
自愿	zìyuàn	5
自我	zìwǒ	6
自杀	zì shā	5
自来水	zìláishuǐ	6
自然	zìrán	3
自由	zìyóu	2
自行车	zìxíngchē	2
自觉	zìjué	3
自言自语	zìyánzìyǔ	6
自豪	zìháo	5
自身	zì shēn	3
臭	chòu	5
至	zhì	5
至于	zhìyú	6
至今	zhìjīn	3
至关重要	zhìguānzhòngyào	7
至少	zhìshǎo	3
至此	zhìcǐ	7
致	zhì	7
致使	zhìshǐ	7
致力于	zhìlìyú	7
致命	zhìmìng	7
致富	zhìfù	7
致敬	zhìjìng	7
致辞	zhìcí	7
舅舅	jiùjiu	7
舆论	yúlùn	7
舌头	shétou	6
舍不得	shěbude	5
舍得	shě de	5
舒服	shūfu	2
舒畅	shūchàng	7
舒适	shūshì	4
舔	tiǎn	7
舞	wǔ	5
舞厅	wǔtīng	7
舞台	wǔ tái	3
舞蹈	wǔdǎo	6
航天	hángtiān	7
航天员	hángtiānyuán	7
航海	hánghǎi	7
航班	hángbān	4
航空	hángkōng	4
航行	hángxíng	7
航运	hángyùn	7
舱	cāng	7
舵手	duòshǒu	7
船	chuán	2
船只	chuánzhī	6
船员	chuányuán	6
船桨	chuánjiǎng	7
船舶	chuánbó	7
船长	chuánzhǎng	6
艘	sōu	7
良	liáng	7
良好	liánghǎo	4
良心	liángxīn	7
良性	liángxìng	7
艰巨	jiānjù	7
艰苦	jiānkǔ	5
艰苦奋斗	jiānkǔfèndòu	7
艰辛	jiānxīn	7
艰险	jiānxiǎn	7
艰难	jiānnán	5
色	sè	4
色彩	sècǎi	4
艳丽	yànlì	7
艺人	yìrén	6
艺术	yìshù	3
艾滋病	àizībìng	7
节	jié	2
节俭	jiéjiǎn	7
节假日	jiéjiàrì	6
节奏	jiézòu	6
节日	jiérì	2
节气	jiéqì	7
节水	jiéshuǐ	7
节目	jiémù	2
节省	jiéshěng	4
节约	jiéyuē	3
节能	jiénéng	6
节衣缩食	jiéyīsuōshí	7
芝士	zhīshì	7
芝麻	zhīma	7
芦花	lúhuā	7
芬芳	fēnfāng	7
芭蕾	bālěi	7
芯片	xīnpiàn	7
花	huā	1
花卉	huāhuì	7
花园	huā yuán	2
花样	huāyàng	7
花瓣	huābàn	7
花瓶	huāpíng	6
花生	huāshēng	6
花纹	huāwén	7
花费	huāfèi	6
芽	yá	7
苍蝇	cāngying	7
苏醒	sūxǐng	7
苗	miáo	7
苗头	miáotou	7
苗条	miáotiao	7
若	ruò	6
若干	ruògān	7
苦	kǔ	4
苦力	kǔlì	7
苦心	kǔxīn	7
苦恼	kǔnǎo	7
苦笑	kǔxiào	7
苦练	kǔliàn	7
苦难	kǔnàn	7
英俊	yīngjùn	7
英勇	yīngyǒng	4
英文	yīng wén	2
英语	yīng yǔ	2
英镑	yīngbàng	7
英雄	yīngxióng	6
苹果	píngguǒ	3
茂密	màomì	7
茂盛	màoshèng	7
范围	fànwéi	3
范畴	fànchóu	7
茄子	qiézi	6
茅台	máotái	7
茎	jīng	7
茫然	mángrán	7
茶	chá	1
茶叶	chá yè	4
茶道	chádào	7
茶馆儿	cháguǎnr	7
荆棘	jīngjí	7
草	cǎo	2
草原	cǎo yuán	5
草地	cǎo dì	2
草坪	cǎopíng	7
草案	cǎo'àn	7
荒	huāng	7
荒凉	huāngliáng	7
荒诞	huāngdàn	7
荒谬	huāngmiù	7
荡漾	dàngyàng	7
荣幸	róngxìng	7
荣获	rónghuò	7
荣誉	róngyù	7
荧光	yíngguāng	7
药	yào	2
药品	yàopǐn	6
药店	yào diàn	2
药方	yàofāng	7
药材	yàocái	7
药水	yào shuǐ	2
药片	yào piàn	2
药物	yào wù	4
荷花	héhuā	7
莫名其妙	mòmíngqímiào	7
莫过于	mòguòyú	7
莫非	mòfēi	7
莲子	liánzi	7
获	huò	4
获取	huò qǔ	4
获奖	huò jiǎng	4
获得	huòdé	4
获悉	huòxī	7
获胜	huòshèng	7
菊花	júhuā	7
菜	cài	1
菜单	càidān	2
菜市场	càishìchǎng	7
菩萨	púsà	7
萌发	méngfā	7
萌芽	méngyá	7
萍水相逢	píngshuǐxiāngféng	7
萎缩	wěisuō	7
萝卜	luóbo	7
营业	yíngyè	4
营养	yíngyǎng	3
营救	yíngjiù	7
营造	yíngzào	7
萧条	xiāotiáo	7
落	luò	4
落下	luòxià	7
落后	luòhòu	3
落地	luòdì	7
落实	luòshí	5
落差	luòchā	7
落户	luòhù	7
著作	zhùzuò	4
著名	zhùmíng	4
葡萄	pútao	5
葡萄酒	pú táo jiǔ	5
董事	dǒngshì	7
董事会	dǒngshìhuì	7
董事长	dǒngshìzhǎng	7
葬	zàng	7
葬礼	zànglǐ	7
葱	cōng	7
蒙	mēng	6
蒜	suàn	7
蒸	zhēng	7
蓝	lán	2
蓝图	lántú	7
蓝天	lántiān	6
蓝色	lán sè	2
蓝领	lánlǐng	6
蓬勃	péngbó	7
蔓延	mànyán	7
蔬菜	shūcài	5
蕴涵	yùnhán	7
蕴藏	yùncáng	7
薄	báo	4
薄弱	bóruò	5
薪水	xīnshuǐ	6
薯条	shǔtiáo	6
薯片	shǔpiàn	6
藏	cáng	6
藏匿	cángnì	7
藏品	cángpǐn	7
藏身	cángshēn	7
藤椅	téngyǐ	7
蘑菇	mógu	7
蘸	zhàn	7
虎	hǔ	5
虐待	nüèdài	7
虔诚	qiánchéng	7
虚	xū	7
虚伪	xūwěi	7
虚假	xūjiǎ	7
虚幻	xūhuàn	7
虚弱	xūruò	7
虚心	xūxīn	5
虚拟	xūnǐ	7
虚构	xūgòu	7
虫子	chóng zi	4
虽	suī	6
虽然	suī rán	2
虽说	suīshuō	7
虾	xiā	7
蚊子	wénzi	7
蚊帐	wénzhàng	7
蛇	shé	5
蛋	dàn	2
蛋白质	dànbáizhì	7
蛋糕	dàngāo	5
蛮	mán	7
蜂蜜	fēngmì	7
蜜	mì	7
蜜月	mìyuè	7
蜜蜂	mìfēng	7
蜡	là	7
蜡烛	làzhú	7
融	róng	7
融入	róngrù	6
融化	rónghuà	7
融合	rónghé	6
融洽	róngqià	7
螺丝	luósī	7
蠢	chǔn	7
血	xuè	3
血压	xuèyā	7
血栓	xuèshuān	7
血液	xuèyè	6
血管	xuèguǎn	6
血缘	xuèyuán	7
血脉	xuèmài	7
行	xíng	1
行业	hángyè	4
行为	xíngwéi	2
行人	xíngrén	2
行使	xíngshǐ	7
行列	hángliè	7
行动	xíngdòng	2
行家	hángjia	7
行情	hángqíng	7
行政	xíngzhèng	7
行李	xíng lǐ	3
行程	xíngchéng	6
行走	xíngzǒu	7
行驶	xíng shǐ	5
衍生	yǎnshēng	7
衔接	xiánjiē	7
街	jiē	2
街头	jiētóu	6
街道	jiēdào	4
衡量	héngliáng	6
衣服	yīfu	1
衣架	yī jià	3
衣食住行	yīshízhùxíng	7
补	bǔ	3
补习	bǔxí	6
补偿	bǔcháng	5
补充	bǔchōng	3
补助	bǔzhù	6
补救	bǔjiù	7
补给	bǔjǐ	7
补考	bǔkǎo	6
补课	bǔkè	6
补贴	bǔtiē	5
表	biǎo	2
表决	biǎojué	7
表彰	biǎozhāng	7
表态	biǎotài	7
表情	biǎoqíng	4
表扬	biǎoyáng	4
表明	biǎomíng	3
表格	biǎogé	3
表演	biǎoyǎn	3
表率	biǎoshuài	7
表现	biǎoxiàn	3
表白	biǎobái	7
表示	biǎoshì	2
表达	biǎodá	3
表述	biǎoshù	7
表面	biǎomiàn	3
衬托	chèntuō	7
衬衣	chèn yī	3
衬衫	chènshān	3
衰减	shuāijiǎn	7
衰弱	shuāiruò	7
衰竭	shuāijié	7
衰老	shuāilǎo	7
衰退	shuāituì	7
衷心	zhōngxīn	7
袋	dài	4
袖手旁观	xiùshǒupángguān	7
袖珍	xiùzhēn	6
袜子	wàzi	4
被	bèi	3
被动	bèidòng	5
被子	bèizi	3
被捕	bèibǔ	7
被迫	bèi pò	4
袭击	xíjī	7
裁	cái	7
裁决	cáijué	7
裁判	cáipàn	5
裁定	cáidìng	7
裂	liè	6
裂痕	lièhén	7
裂缝	lièfèng	7
装	zhuāng	2
装修	zhuāngxiū	4
装备	zhuāngbèi	6
装置	zhuāng zhì	4
装饰	zhuāngshì	5
裙子	qúnzi	3
裤子	kùzi	3
裸	luǒ	7
裸露	luǒlù	7
裹	guǒ	7
西	xī	1
西北	xī běi	2
西医	xī yī	2
西南	xī nán	2
西方	xī fāng	2
西班牙语	xībānyáyǔ	6
西瓜	xīguā	4
西红柿	xīhóngshì	5
西装	xī zhuāng	5
西边	xī biān	1
西部	xī bù	3
西餐	xī cān	2
要	yào	1
要不	yàobù	7
要不是	yàobúshì	7
要不然	yàobùrán	6
要么	yàome	6
要命	yàomìng	7
要好	yàohǎo	6
要害	yàohài	7
要强	yàoqiáng	7
要是	yàoshi	3
要求	yāoqiú	2
要点	yàodiǎn	7
要素	yàosù	6
要紧	yàojǐn	7
要领	yàolǐng	7
覆盖	fùgài	7
见	jiàn	1
见义勇为	jiànyìyǒngwéi	7
见仁见智	jiànrénjiànzhì	7
见到	jiàn dào	2
见外	jiànwài	7
见效	jiànxiào	7
见解	jiànjiě	7
见证	jiànzhèng	7
见识	jiànshi	7
见过	jiàn guò	2
见钱眼开	jiànqiányǎnkāi	7
见面	jiànmiàn	1
观众	guānzhòng	3
观光	guānguāng	6
观察	guānchá	3
观念	guānniàn	3
观感	guāngǎn	7
观摩	guānmó	7
观望	guānwàng	7
观测	guāncè	7
观点	guāndiǎn	2
观看	guān kàn	3
观赏	guānshǎng	7
规划	guīhuà	5
规则	guīzé	4
规定	guīdìng	3
规律	guīlǜ	4
规格	guīgé	7
规模	guīmó	4
规矩	guīju	7
规范	guīfàn	3
视为	shì wéi	5
视力	shìlì	7
视察	shìchá	7
视线	shìxiàn	7
视觉	shìjué	7
视角	shìjiǎo	7
视野	shìyě	7
视频	shìpín	5
觉	jiào	6
觉得	juéde	1
觉悟	juéwù	6
觉醒	juéxǐng	7
角	jiǎo	2
角度	jiǎodù	2
角色	juésè	4
角落	jiǎoluò	7
角逐	juézhú	7
解	jiě	6
解体	jiětǐ	7
解决	jiějué	3
解剖	jiěpōu	7
解围	jiěwéi	7
解开	jiě kāi	3
解放	jiěfàng	5
解救	jiějiù	7
解散	jiěsàn	7
解析	jiěxī	7
解答	jiědá	7
解脱	jiětuō	7
解说	jiěshuō	6
解读	jiědú	7
解释	jiěshì	4
解除	jiěchú	5
解雇	jiěgù	7
触动	chùdòng	7
触摸	chùmō	7
触犯	chùfàn	7
触目惊心	chùmùjīngxīn	7
触觉	chùjué	7
言行	yánxíng	7
言论	yánlùn	7
言语	yán yǔ	5
言辞	yáncí	7
警告	jǐnggào	5
警官	jǐngguān	7
警察	jǐngchá	3
警惕	jǐngtì	7
警车	jǐngchē	7
警钟	jǐngzhōng	7
譬如	pìrú	7
譬如说	pìrúshuō	7
计	jì	7
计划	jìhuà	2
计时	jìshí	7
计策	jìcè	7
计算	jìsuàn	3
计算机	jì suàn jī	2
计较	jìjiào	7
订	dìng	3
订单	dìngdān	7
订婚	dìnghūn	7
订立	dìnglì	7
订购	dìnggòu	7
认	rèn	5
认为	rènwéi	2
认出	rèn chū	3
认可	rènkě	3
认同	rèntóng	6
认定	rèndìng	5
认得	rèn dé	3
认真	rènzhēn	1
认知	rènzhī	7
认证	rènzhèng	7
认识	rènshi	1
认错	rèncuò	7
讥笑	jīxiào	7
讨	tǎo	7
讨人喜欢	tǎorénxǐhuan	7
讨价还价	tǎojiàhuánjià	7
讨厌	tǎoyàn	5
讨好	tǎohǎo	7
讨论	tǎolùn	2
让	ràng	2
让座	ràngzuò	6
让步	ràngbù	7
训	xùn	7
训练	xùnliàn	3
议	yì	7
议会	yìhuì	7
议员	yìyuán	7
议程	yìchéng	7
议论	yìlùn	4
议题	yìtí	6
记	jì	1
记住	jì zhù	1
记号	jìhao	7
记录	jìlù	3
记得	jìdé	1
记忆	jìyì	5
记忆犹新	jìyìyóuxīn	7
记者	jìzhě	3
记载	jìzǎi	4
讲	jiǎng	2
讲学	jiǎngxué	7
讲座	jiǎngzuò	4
讲究	jiǎngjiu	4
讲解	jiǎngjiě	7
讲话	jiǎng huà	2
讲课	jiǎngkè	6
讲述	jiǎngshù	7
许	xǔ	7
许可	xǔkě	5
许可证	xǔkězhèng	7
许多	xǔduō	2
讹诈	ézhà	7
论坛	lùntán	7
论文	lùnwén	4
论证	lùnzhèng	7
论述	lùnshù	7
讽刺	fěngcì	7
设	shè	7
设备	shèbèi	3
设定	shèdìng	7
设想	shèxiǎng	5
设施	shèshī	4
设法	shèfǎ	7
设立	shèlì	3
设置	shèzhì	4
设计	shèjì	3
设计师	shèjìshī	6
访谈	fǎngtán	7
访问	fǎngwèn	3
诀别	juébié	7
诀窍	juéqiào	7
证	zhèng	3
证书	zhèngshū	5
证人	zhèngrén	7
证件	zhèngjiàn	3
证实	zhèngshí	5
证据	zhèngjù	3
证明	zhèngmíng	3
评	píng	6
评价	píngjià	3
评估	pínggū	5
评判	píngpàn	7
评委	píngwěi	7
评定	píngdìng	7
评审	píngshěn	7
评论	pínglùn	5
评论员	pínglùnyuán	7
评选	píngxuǎn	6
识	shí	6
识别	shíbié	7
识字	shízì	6
诈骗	zhàpiàn	7
诉苦	sùkǔ	7
诉讼	sùsòng	7
诉说	sùshuō	7
诊所	zhěnsuǒ	7
诊断	zhěnduàn	5
词	cí	2
词典	cídiǎn	2
词汇	cíhuì	4
词语	cíyǔ	2
译	yì	7
试	shì	1
试卷	shìjuàn	4
试图	shìtú	5
试探	shìtàn	7
试点	shìdiǎn	6
试用	shìyòng	7
试用期	shìyòngqī	7
试行	shìxíng	7
试题	shì tí	3
试验	shìyàn	3
诗	shī	4
诗人	shī rén	4
诗歌	shī gē	5
诚信	chéng xìn	4
诚实	chéngshí	4
诚心诚意	chéngxīnchéngyì	7
诚恳	chéngkěn	7
诚意	chéngyì	7
诚挚	chéngzhì	7
话	huà	1
话剧	huà jù	3
话筒	huàtǒng	7
话语	huàyǔ	7
话费	huàfèi	7
话题	huàtí	3
诞生	dànshēng	6
诞辰	dànchén	7
询问	xúnwèn	5
该	gāi	2
详尽	xiángjìn	7
详细	xiángxì	5
诧异	chàyì	7
语气	yǔqì	7
语法	yǔfǎ	4
语言	yǔyán	2
语音	yǔ yīn	4
误	wù	6
误会	wùhuì	4
误区	wùqū	7
误导	wùdǎo	7
误差	wùchā	7
误解	wùjiě	5
诱人	yòurén	7
诱发	yòufā	7
诱惑	yòuhuò	7
诱饵	yòu'ěr	7
说	shuō	1
说不上	shuōbushàng	7
说不定	shuōbudìng	4
说到底	shuōdàodǐ	7
说实话	shuōshíhuà	6
说干就干	shuōgànjiùgàn	7
说情	shuōqíng	7
说明	shuōmíng	2
说明书	shuōmíngshū	6
说服	shuōfú	4
说法	shuō fǎ	5
说白了	shuōbáile	7
说真的	shuōzhēnde	7
说老实话	shuōlǎoshíhuà	7
说话	shuōhuà	1
说谎	shuōhuǎng	7
说起来	shuōqilai	7
说道	shuōdào	7
说闲话	shuōxiánhuà	7
请	qǐng	1
请假	qǐngjià	1
请坐	qǐng zuò	1
请客	qǐng kè	2
请帖	qǐngtiě	7
请教	qǐngjiào	3
请柬	qǐngjiǎn	7
请求	qǐngqiú	2
请进	qǐng jìn	1
请问	qǐng wèn	1
诸位	zhūwèi	6
诸多	zhūduō	7
诸如此类	zhūrúcǐlèi	7
诺言	nuòyán	7
读	dú	1
读书	dú shū	1
读者	dú zhě	3
读音	dú yīn	2
诽谤	fěibàng	7
课	kè	1
课堂	kè táng	2
课文	kè wén	1
课本	kè běn	1
课程	kèchéng	3
课题	kètí	5
谁	shéi	1
谁知道	shéizhīdào	7
调	diào	3
调侃	tiáokǎn	7
调动	diàodòng	5
调度	diàodù	7
调控	tiáokòng	7
调整	tiáozhěng	3
调料	tiáoliào	7
调查	diàochá	3
调皮	tiáopí	4
调研	diàoyán	6
调节	tiáojié	5
调解	tiáojiě	5
调试	tiáoshì	7
谅解	liàngjiě	7
谈	tán	3
谈不上	tánbushàng	7
谈判	tánpàn	3
谈到	tándào	7
谈论	tánlùn	7
谈话	tán huà	3
谈起	tánqǐ	7
谋害	móuhài	7
谋求	móuqiú	7
谋生	móushēng	7
谎言	huǎngyán	7
谎话	huǎnghuà	7
谜	mí	7
谜团	mítuán	7
谜底	mídǐ	7
谜语	míyǔ	7
谢谢	xièxie	1
谣言	yáoyán	7
谦虚	qiānxū	6
谦逊	qiānxùn	7
谨慎	jǐnshèn	7
谱	pǔ	7
谴责	qiǎnzé	7
豁	huō	7
豁出去	huōchuqu	7
豁达	huòdá	7
豆制品	dòu zhì pǐn	5
豆子	dòuzi	7
豆浆	dòujiāng	7
豆腐	dòufu	4
象征	xiàngzhēng	5
豪华	háohuá	7
豹	bào	7
贝壳	bèiké	7
负	fù	6
负担	fùdān	4
负有	fùyǒu	7
负责	fùzé	3
负责人	fù zé rén	5
负面	fùmiàn	7
贡献	gòngxiàn	6
财产	cáichǎn	4
财力	cáilì	7
财务	cáiwù	7
财富	cáifù	4
财政	cáizhèng	7
财物	cáiwù	7
财经	cáijīng	7
责任	zérèn	3
责备	zébèi	7
责怪	zéguài	7
败	bài	4
败坏	bàihuài	6
账	zhàng	6
账单	zhàngdān	7
账号	zhànghào	7
账户	zhànghù	6
货	huò	4
货币	huòbì	7
货物	huòwù	7
货车	huòchē	7
货运	huòyùn	7
质地	zhìdì	7
质朴	zhìpǔ	7
质疑	zhìyí	7
质量	zhìliàng	4
质问	zhìwèn	7
贩卖	fànmài	7
贪	tān	7
贪婪	tānlán	7
贪污	tānwū	7
